County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
leecounty,140247,al,leecountyal,46162,119052,0.387746531,35.3,90.9,22.9,3.7,67.7,4.2,61.6,169300,51463,5.6,7.3,230.8,2824,8270,11573,0.244016245
limestonecounty,82782,al,limestonecountyal,25162,78037,0.322436793,25.7,84.7,13.9,6.2,75.8,1.7,77.6,158800,59686,3.7,6.7,147.8,852,4938,5969,0.142737477
lowndescounty,11299,al,lowndescountyal,5977,11018,0.542475948,14.7,78.3,72.4,1.9,25.1,0.5,74.3,70000,30036,0.8,0.4,15.8,585,282,884,0.661764706
maconcounty,21452,al,maconcountyal,10292,20428,0.503818289,20.4,81.8,80.4,1.9,16.5,0.6,65.5,80800,33370,0.6,2.5,35.2,1089,268,1399,0.778413152
madisoncounty,334811,al,madisoncountyal,79103,277105,0.285462189,42.8,91.7,24.9,5.2,64.5,2.7,66.8,186100,65449,5.5,6.9,417.7,6614,20536,28357,0.23324047
marengocounty,21027,al,marengocountyal,8278,17291,0.478746169,16.1,83.8,51.6,2.8,44.4,0.3,71.5,84400,33241,0.4,0.6,21.5,520,771,1414,0.367751061
marioncounty,30776,al,marioncountyal,12827,27622,0.464376222,12.8,79.6,3.9,2.7,91.7,0.3,75.1,92800,35930,1.2,3.1,41.5,105,2114,2283,0.045992116
marshallcounty,93019,al,marshallcountyal,34223,80017,0.427696614,19.4,81.6,3.2,14.7,79.8,0.7,70.2,128800,45983,7.4,12.4,164.4,585,6984,7864,0.074389624
mobilecounty,412992,al,mobilecountyal,126600,320208,0.395368011,23.2,86.5,36.2,3,56.5,2.1,64.5,130200,47583,3.1,4.6,335.9,13509,21087,35912,0.376169526
monroecounty,23068,al,monroecountyal,11217,21231,0.528331214,13.5,85.6,41,1.7,54.1,0.5,63.6,102200,30441,0.5,0.4,22.5,482,764,1317,0.365983295
montgomerycounty,229363,al,montgomerycountyal,73999,179428,0.412416122,33.4,86.7,59.3,3.7,32.7,3.3,58.4,129800,50124,4.7,6.2,292.5,9282,9682,19932,0.465683323
morgancounty,119490,al,morgancountyal,37984,103759,0.366079087,22.4,84.1,13.1,8.7,75.1,0.7,72.7,137000,52156,4.6,8.1,206.3,1518,7646,9630,0.157632399
perrycounty,10591,al,perrycountyal,7131,10453,0.682196499,22.8,82.8,67.9,1.6,29.1,0.6,71.9,65000,23447,2.1,1.3,14.7,342,221,578,0.591695502
pickenscounty,19746,al,pickenscountyal,8181,17773,0.460304957,14.1,81.5,40,5.2,53.6,0.3,75.3,96000,39848,3.4,5,22.4,496,966,1489,0.333109469
pikecounty,32899,al,pikecountyal,14468,28403,0.509382812,23.7,85,37.8,2.4,55.8,1.9,62.3,120000,37446,4.2,5.8,48.9,741,1510,2419,0.306324928
randolphcounty,22913,al,randolphcountyal,8529,20868,0.408711903,16.5,79.6,19.2,3,75.4,0.5,76.6,96100,43395,1.3,2.1,39.5,290,1725,2071,0.140028972
russellcounty,52947,al,russellcountyal,16825,39420,0.4268138,17.8,83.8,45.5,5.8,45.8,0.9,60.2,122000,42443,3.7,6.6,82.6,1754,2657,4546,0.3858337
shelbycounty,195085,al,shelbycountyal,36752,172280,0.213327142,42.9,92.7,13.3,5.8,77.2,2.3,80.5,211900,77799,5.6,8.2,248.5,2636,15391,18665,0.141226895
st.claircounty,83593,al,st.claircountyal,25384,78916,0.321658472,16.1,84.6,9.7,2.4,85.4,0.9,79.9,154900,58308,1.6,2.6,132.3,504,5421,6119,0.0823664
sumtercounty,13763,al,sumtercountyal,7250,11741,0.617494251,21.6,86.7,71.4,1.2,24.9,1.9,64.1,74400,24320,1.6,3.4,15.2,571,261,875,0.652571429
talladegacounty,82291,al,talladegacountyal,33313,75022,0.444043081,15,80.3,33,2.4,62.3,0.7,71.3,105300,41325,1.5,3.3,111.7,1158,3451,4812,0.240648379
tallapoosacounty,41616,al,tallapoosacountyal,16295,38797,0.420006702,18.4,80.7,27,2.5,68.7,0.6,74.9,109300,45828,1.5,2.6,58.1,396,2067,2602,0.152190623
tuscaloosacounty,194656,al,tuscaloosacountyal,53687,152578,0.351865931,30.7,88.3,32.4,4,60.8,1.6,63.7,170400,53326,3.8,5.5,147.3,3303,10334,14255,0.231708173
walkercounty,67023,al,walkercountyal,26247,61228,0.428676423,11.3,81.8,6.2,2.6,88.8,0.6,77.2,104300,43629,1.5,2.3,84.7,472,3997,4641,0.101702219
washingtoncounty,17581,al,washingtoncountyal,7601,17045,0.445937225,12.7,82.6,23.3,1.6,65,1.1,82.7,89100,41370,2.7,1.3,16.3,341,789,1176,0.289965986
wilcoxcounty,11670,al,wilcoxcountyal,6260,11591,0.540074195,12.5,76.5,71.1,1.4,26.9,0.2,67.9,79400,31014,0.6,2.7,13.1,512,314,862,0.593967517
winstoncounty,24484,al,winstoncountyal,10159,22073,0.460245549,12.8,78.8,1,3.3,93.3,0.4,79.4,86100,35788,1.5,2.5,39.9,40,1667,1836,0.021786492
aleutianseastborough,3141,ak,aleutianseastboroughak,1081,3041,0.355475173,11.5,85.5,10.2,14.8,9.1,43.4,63.8,119900,69250,27.1,33.8,0.4,220,47,300,0.733333333
aleutianswestcensusarea,5561,ak,aleutianswestcensusareaak,1317,4570,0.288183807,17,89.5,7.1,14,23.6,40.1,28.2,279200,87466,41.6,58.2,1.3,157,156,343,0.457725948
anchoragemunicipality,291826,ak,anchoragemunicipalityak,41102,212595,0.193334744,36.1,93.9,6,9.4,57.1,10,61.3,314800,84928,10.9,17.8,171.2,5351,19271,26033,0.205546806
bethelcensusarea,17013,ak,bethelcensusareaak,8295,14732,0.563060005,11.9,80.9,1,2.7,9.6,1,58.2,83600,53553,2.3,62.7,0.4,761,299,1121,0.678858162
bristolbayborough,997,ak,bristolbayboroughak,203,997,0.203610832,22.5,94,0.8,7.4,39.6,1.8,53.8,188800,79808,2.2,6.9,2,97,182,301,0.322259136
denaliborough,1826,ak,denaliboroughak,604,1826,0.330777656,41.1,98.5,2.1,3.8,79.5,5.4,81.6,223000,81719,7.7,11.9,0.1,0,272,301,0
dillinghamcensusarea,4847,ak,dillinghamcensusareaak,2063,4513,0.457123864,22.1,86.3,0.8,3.7,14.7,0.9,62,183500,56898,2.3,38,0.3,814,320,1186,0.686340641
fairbanksnorthstarborough,97581,ak,fairbanksnorthstarboroughak,20017,87959,0.227571937,31.4,94.5,5.3,8.2,69.2,3.4,58.9,240000,76992,5.4,10,13.3,920,5902,7301,0.126010136
hainesborough,2508,ak,hainesboroughak,608,1920,0.316666667,33.8,97.5,0.6,3.6,77.1,0.9,66.4,254000,58059,5.1,8.4,1.1,66,438,541,0.121996303
hoonah-angooncensusarea,2150,ak,hoonah-angooncensusareaak,674,2150,0.313488372,21.3,93.7,2.2,6,46.6,1,75.5,223600,59803,5.6,12,0.3,56,181,256,0.21875
juneaucityandborough,31275,ak,juneaucityandboroughak,3936,25445,0.154686579,38.4,96.4,1.5,7,64.1,6.9,64.8,345900,88390,8.8,12.8,11.6,587,2835,3703,0.158520119
kenaipeninsulaborough,55400,ak,kenaipeninsulaboroughak,15172,52147,0.290946747,24.6,92.7,0.8,4.3,80,1.9,72.8,242200,66064,3.3,8.1,3.4,683,6378,7362,0.092773703
ketchikangatewayborough,13477,ak,ketchikangatewayboroughak,1839,7976,0.2305667,25.3,92.8,1.1,5.6,63.9,8.2,61.6,289900,72728,9,11,2.8,184,1697,1978,0.093023256
kodiakislandborough,13592,ak,kodiakislandboroughak,2850,10942,0.260464266,28,89.8,1.3,8.6,49.1,21.9,54.6,282100,85839,19.8,27,2.1,459,1337,1919,0.239187077
lakeandpeninsulaborough,1631,ak,lakeandpeninsulaboroughak,679,1631,0.416309013,16.1,88,1.3,3.5,22.3,3.1,71.5,114900,44135,2.2,11.3,0.1,291,152,456,0.638157895
matanuska-susitnaborough,88995,ak,matanuska-susitnaboroughak,20652,82786,0.249462469,21.6,92.9,1.3,5.2,78.6,1.7,77.1,249000,75493,3.3,6.2,3.6,823,6498,7648,0.107609833
nomecensusarea,9492,ak,nomecensusareaak,3415,6260,0.545527157,16.1,84.6,0.9,2.9,14.9,1.5,60.5,154600,61048,2.5,31,0.4,381,264,676,0.563609467
northslopeborough,9430,ak,northslopeboroughak,1791,6855,0.261269147,16.5,89.7,1.6,4.3,30.9,5.5,52.7,152500,79306,6.3,32.9,0.1,193,104,331,0.583081571
northwestarcticborough,7523,ak,northwestarcticboroughak,2903,4857,0.59769405,13.2,82.5,1.8,3.7,10.7,1,56.2,141400,60906,1.5,35.6,0.2,163,72,257,0.634241245
petersburgborough,3815,ak,petersburgboroughak,418,2385,0.175262055,28.4,89.7,1.8,5.8,70.9,3.7,68.8,227400,69948,8.8,16.8,1.2,120,720,884,0.135746606
princeofwales-hydercensusarea,5559,ak,princeofwales-hydercensusareaak,1368,3960,0.345454545,18.3,90.8,0.6,3.9,44.9,1.2,72.8,174900,52379,3.1,5.7,1.4,174,507,727,0.239339752
sitkacityandborough,8881,ak,sitkacityandboroughak,941,4541,0.207223079,33.4,94.7,1,7.4,61.7,7.6,59.3,358600,73682,8.4,12.4,3.1,192,1369,1649,0.116434203
skagwaymunicipality,968,ak,skagwaymunicipalityak,28,158,0.17721519,29.6,94.7,0.8,6.7,80.8,2.4,53.3,338500,73906,8.9,11,2.1,0,139,191,0
southeastfairbankscensusarea,7029,ak,southeastfairbankscensusareaak,1901,6668,0.285092981,19.7,89.9,2.1,7,72.4,2.5,73.5,170900,70056,11,19.1,0.3,37,624,696,0.05316092
wrangellcityandborough,2369,ak,wrangellcityandboroughak,330,1270,0.25984252,19.4,86.5,0.6,3,66.6,3.2,67.9,216200,53894,2.8,3.9,0.9,41,383,441,0.092970522
yakutatcityandborough,662,ak,yakutatcityandboroughak,201,541,0.371534196,22.6,91.2,2.1,4.7,31.4,6,66.2,202300,71607,4.9,12.5,0.1,39,50,102,0.382352941
yukon-koyukukcensusarea,5588,ak,yukon-koyukukcensusareaak,2528,5222,0.484105707,13.6,86,1,3.1,22.2,0.6,72.4,76500,41413,1.3,13.4,0,196,195,415,0.472289157
apachecounty,71518,az,apachecountyaz,41823,68078,0.614339434,12.3,80.4,0.6,6.6,18,0.5,78.9,59900,32508,1.4,53.8,6.4,1687,974,2787,0.60531037
cochisecounty,131346,az,cochisecountyaz,44020,114686,0.383830633,23.1,87.4,4.5,35.7,54.8,2.3,68.9,146800,49260,10.7,28.3,21.3,2751,5263,8545,0.321942657
coconinocounty,134421,az,coconinocountyaz,36752,100138,0.367013521,36.2,90.5,1.5,14.3,54.1,2.1,61,280900,59460,4.4,24,7.2,2106,8172,10934,0.192610207
gilacounty,53597,az,gilacountyaz,19955,45605,0.437561671,18.7,86.3,0.8,18.9,61.6,0.9,75.6,165800,43524,3.5,17.1,11.3,851,2908,4016,0.21190239
grahamcounty,37220,az,grahamcountyaz,14623,35270,0.414601644,15.2,85.3,1.9,33.2,51,0.7,70.3,138700,51353,3,20.2,8.1,461,1281,1867,0.246920193
greenleecounty,8437,az,greenleecountyaz,2648,6555,0.403966438,13.5,88.1,2.1,47.7,45.5,0.8,48.6,83800,63473,2.3,21.4,4.6,105,162,314,0.334394904
lapazcounty,20489,az,lapazcountyaz,9733,19008,0.512047559,12,76.9,1.2,28.3,56.5,0.9,71.5,79200,34643,9.7,18,4.6,310,854,1230,0.25203252
maricopacounty,3817117,az,maricopacountyaz,757010,2497632,0.303091088,32.7,87.7,6.4,31.4,54.5,4.6,62.2,260200,64468,14.8,27,414.9,83284,227870,324146,0.256933604
mohavecounty,200186,az,mohavecountyaz,73413,174904,0.419733111,12.9,86.1,1.3,16.9,76.7,1.2,69.3,160500,45587,6,10.5,15,1507,10515,12458,0.120966447
navajocounty,107449,az,navajocountyaz,50482,95837,0.526748542,15.3,83.4,1,11.5,41.6,0.6,68.8,126100,40067,2.9,37.5,10.8,1880,3822,5962,0.315330426
pimacounty,980263,az,pimacountyaz,244903,692797,0.353498933,32.4,88.4,4.2,37.8,51.2,3.3,63.2,184100,53379,13,28.2,106.7,24973,49129,77869,0.320705287
pinalcounty,375770,az,pinalcountyaz,112950,331923,0.340289766,19.5,85.8,5.4,30.7,56.1,1.9,76.7,183100,58174,9,21.2,70,4180,12168,17202,0.242995001
santacruzcounty,47420,az,santacruzcountyaz,21114,40169,0.525629217,20.4,76.6,1,83.3,15,0.8,67.7,151200,41259,33.1,79.7,38.3,3614,1268,5122,0.705583756
yavapaicounty,211033,az,yavapaicountyaz,63476,185552,0.342092783,25.9,91,0.9,14.7,80.2,1.3,72,252000,52451,6.2,11,26,1955,17439,20528,0.095235776
yumacounty,195751,az,yumacountyaz,60387,135747,0.44484961,15,73.3,2.6,64.6,30.1,1.5,67.1,127900,45243,26.3,53.2,35.5,5749,4476,10846,0.530057164
arkansascounty,19019,ar,arkansascountyar,7410,16974,0.436550018,15.8,83.9,25.1,3.4,69.1,0.8,65.2,88600,46696,0.8,2,19.2,220,1281,1575,0.13968254
ashleycounty,21853,ar,ashleycountyar,8631,19156,0.450563792,12.3,83.3,24.7,5.7,68.5,0.3,77.5,76400,44744,2.5,5.2,23.6,198,929,1193,0.165968148
baxtercounty,41513,ar,baxtercountyar,13802,37137,0.371650914,17.9,88.7,0.5,2.6,94.3,0.5,76.1,133400,42260,1.8,1.8,74.9,111,3776,4159,0.026689108
bentoncounty,221339,ar,bentoncountyar,54150,189073,0.286397317,33.4,88.6,2.1,17.1,72.6,4.2,66.6,183400,66362,11.6,13.6,261.2,2699,15415,18936,0.142532742
boonecounty,36903,ar,boonecountyar,12592,31983,0.393709158,16.1,87.4,0.5,2.6,93.7,0.6,71.8,124300,45374,0.8,1.5,62.5,99,3453,3690,0.026829268
bradleycounty,11508,ar,bradleycountyar,4268,9270,0.460409924,14.3,81,27.4,15.9,55.1,0.5,65.2,89800,43184,7.2,16.8,17.7,119,386,536,0.222014925
calhouncounty,5368,ar,calhouncountyar,2182,5368,0.406482861,11.4,84.2,21.2,4.1,72.1,0.2,84.8,70000,46417,1.1,3.3,8.5,0,260,278,0
carrollcounty,27446,ar,carrollcountyar,9878,24317,0.406217872,21.2,86.3,0.8,15.2,78.4,2,75.7,136900,46110,8.6,13.1,43.6,217,2610,3002,0.072285143
chicotcounty,11800,ar,chicotcountyar,5072,9867,0.514036688,15.9,80.8,54.6,5.9,38.5,0.7,61.8,69700,34147,2.3,6.7,18.3,207,460,722,0.286703601
clarkcounty,22995,ar,clarkcountyar,8096,18920,0.427906977,26.6,90,24.6,4.8,68.3,0.7,57.5,111600,41620,2.8,4.9,26.6,248,973,1346,0.184249629
claycounty,16083,ar,claycountyar,6183,13464,0.459224599,12.6,82.5,0.9,2.2,94.9,0.2,67.4,77400,37233,0.8,1.4,25.2,32,969,1035,0.030917874
cleburnecounty,25970,ar,cleburnecountyar,8638,23238,0.371718737,15.5,85.9,0.5,2.5,94.5,0.5,75.2,129900,44483,1.4,2.4,46.9,71,2438,2567,0.027658746
clevelandcounty,8689,ar,clevelandcountyar,3243,7894,0.410818343,16.2,89.6,11.5,2.5,84.3,0.2,76,97100,46684,0.8,1,14.5,0,438,470,0
columbiacounty,24552,ar,columbiacountyar,9222,20568,0.448366394,19.6,85.9,35.6,2.8,59.5,0.9,70.4,81900,36193,1.7,3.2,32.1,242,1315,1647,0.146933819
conwaycounty,21273,ar,conwaycountyar,7643,18703,0.408651019,15.6,87,11.4,4,81.4,0.4,67.3,107600,42802,2.4,3.2,38.5,147,1143,1341,0.109619687
craigheadcounty,96443,ar,craigheadcountyar,33261,75692,0.439425567,26.2,89.3,16.8,5.3,74.9,1.3,57.1,140700,47286,4,5.7,136.4,1088,7482,8947,0.121605007
crawfordcounty,61948,ar,crawfordcountyar,23108,56956,0.405716694,16,85,1.7,8.1,83.6,1.5,76,115200,46828,4,7.2,104.4,487,3817,4474,0.10885114
crittendencounty,50902,ar,crittendencountyar,19848,40340,0.492017848,17.4,82.6,54.5,2.8,40.9,0.6,57.4,114600,40161,1.8,2.9,83.5,2072,2174,4395,0.471444824
crosscounty,17870,ar,crosscountyar,6416,15088,0.4252386,14.4,83.6,23.2,2,72.3,0.8,66.8,86100,46787,0.3,0.4,29,423,1118,1610,0.262732919
dallascounty,8116,ar,dallascountyar,3322,6852,0.48482195,11.9,83.9,40.5,3.9,53.2,0.3,67.7,70400,38072,0.2,1.7,12.2,69,502,594,0.116161616
deshacounty,13008,ar,deshacountyar,6368,11139,0.57168507,14.1,81.1,47.9,6.4,44.5,0.7,61.5,70300,31893,3.6,6.7,16.9,357,364,806,0.44292804
drewcounty,18509,ar,drewcountyar,6092,15518,0.392576363,22.8,86.9,28.1,3.8,66.1,0.7,67.7,99800,46997,1.2,2.8,22.3,247,846,1186,0.208263069
faulknercounty,113237,ar,faulknercountyar,35969,100049,0.359513838,30.6,91.8,12.2,4.2,79.9,1.3,62.3,161500,52827,3.2,5.6,174.8,939,7827,9133,0.102813971
franklincounty,18125,ar,franklincountyar,7372,16484,0.447221548,12.1,83.7,0.9,3.2,91.6,1.1,70.5,100900,38923,1.3,2,29.8,51,1251,1362,0.037444934
fultoncounty,12245,ar,fultoncountyar,5742,11555,0.496927737,12.2,85.6,0.7,1.7,94.5,0.3,79.7,86400,35405,1.7,1.3,19.8,0,543,605,0
garlandcounty,96024,ar,garlandcountyar,34101,85058,0.40091467,21.6,89.1,8.8,5.9,81.7,0.9,67.8,139900,44777,3.8,6.3,141.7,951,8568,9944,0.095635559
grantcounty,17853,ar,grantcountyar,5758,16198,0.355475985,18.7,90.8,2.7,3,92.3,0.4,80.1,124600,55388,1.6,2.5,28.3,60,1108,1204,0.049833887
greenecounty,42090,ar,greenecountyar,14701,38047,0.386390517,16.2,88.2,1.8,3,92.6,0.4,67,118800,47056,0.7,1.6,72.9,67,2924,3105,0.0215781
hempsteadcounty,22609,ar,hempsteadcountyar,9862,20842,0.473179157,15.1,82.6,30.5,13.3,53.9,0.5,69.3,81100,42860,4.7,11,31.1,263,1137,1469,0.179033356
hotspringcounty,32923,ar,hotspringcountyar,12420,30900,0.401941748,13.3,85.8,11.3,3.7,82.3,0.4,77.9,96700,43889,1.1,2.6,53.5,186,1835,2128,0.087406015
howardcounty,13789,ar,howardcountyar,5790,12620,0.458795563,13.6,85.2,21.1,13.2,63.3,0.6,68.9,95900,36059,6.5,13,23.4,97,848,1032,0.093992248
independencecounty,36647,ar,independencecountyar,14239,33512,0.424892576,17.5,86,2.5,6.6,88,0.9,71.6,98900,44319,2.8,4.7,48,186,2580,2898,0.064182195
izardcounty,13696,ar,izardcountyar,5372,12939,0.415178916,13.1,83.8,2.2,2.5,92.7,0.5,76.1,82700,42876,1.1,3,23.6,25,928,988,0.025303644
jacksoncounty,17997,ar,jacksoncountyar,8086,15601,0.518300109,10.1,80.2,17.4,3,76.8,0.5,69.4,66600,34109,0.4,2.4,28.4,77,906,1045,0.073684211
jeffersoncounty,77435,ar,jeffersoncountyar,28904,65452,0.441606062,18,86.1,57.4,2.2,38.3,0.9,62.1,83500,40726,1.6,4,88.9,2235,2204,4655,0.480128894
johnsoncounty,25540,ar,johnsoncountyar,11546,22896,0.504280224,15.4,78.9,2.2,14.3,78.7,2.7,70.4,103500,38511,9.4,14,38.7,146,1630,1826,0.079956188
lafayettecounty,7645,ar,lafayettecountyar,3499,7016,0.498717218,15.8,79.7,36.3,2.9,59.1,0.6,79.1,64600,32397,2,1.9,14.5,74,499,597,0.123953099
